Maps,bfs path cost,bfs time taken,bfs nodes expanded,bfs average score,dfs path cost,dfs time taken,dfs nodes expanded,dfs average score,ucs path cost,ucs time taken,ucs nodes expanded,ucs average score,astar path cost,astar time taken,astar nodes expanded,astar average score,bi path cost,bi time taken,bi nodes expanded,bi average score
mediumMaze,68,0.001993417739868164,269,442.0,130,0.000995635986328125,146,380.0,68,0.0030655860900878906,269,442.0,68,0.003043651580810547,221,442.0,68,0.001992464065551758,184,442.0
bigMaze,210,0.009568929672241211,620,300.0,210,0.005103588104248047,390,300.0,210,0.013855457305908203,620,300.0,210,0.015946388244628906,549,300.0,210,0.006053924560546875,606,300.0
contoursMaze,13,0.003969907760620117,170,497.0,85,0.0015621185302734375,85,425.0,13,0.002910137176513672,170,497.0,13,0.0009839534759521484,49,497.0,13,0.001996755599975586,41,497.0
openMaze,54,0.01815509796142578,682,456.0,298,0.024193286895751953,806,212.0,54,0.026007890701293945,682,456.0,54,0.019534826278686523,535,456.0,54,0.004408359527587891,449,456.0
smallMaze,19,0.0009965896606445312,92,491.0,49,0.0,59,461.0,19,0.0009968280792236328,92,491.0,19,0.0009913444519042969,53,491.0,19,0.0009965896606445312,39,491.0
tinyMaze,8,0.0,15,502.0,10,0.0,15,500.0,8,0.0,15,502.0,8,0.0,14,502.0,8,0.0009927749633789062,10,502.0
bigMaze1,214,0.13204598426818848,633,296.0,214,0.07722640037536621,382,296.0,214,0.14301776885986328,633,296.0,214,0.1339867115020752,604,296.0,214,0.6340057849884033,602,296.0
bigMaze2,194,0.1169271469116211,551,316.0,194,0.0934758186340332,434,316.0,194,0.11058378219604492,551,316.0,194,0.10689020156860352,513,316.0,194,0.6384968757629395,620,316.0
bigMaze3,26,0.02411627769470215,89,484.0,26,0.13069558143615723,610,484.0,26,0.01758122444152832,89,484.0,26,0.012665271759033203,66,484.0,26,0.04599332809448242,45,484.0
bigMaze4,141,0.1023399829864502,517,369.0,141,0.0662543773651123,358,369.0,141,0.10245299339294434,517,369.0,141,0.1013338565826416,488,369.0,141,0.5939633846282959,583,369.0
bigMaze5,150,0.0900580883026123,476,360.0,150,0.08071208000183105,421,360.0,150,0.09431672096252441,476,360.0,150,0.09572505950927734,459,360.0,150,0.6552257537841797,637,360.0
bigMaze6,20,0.012427806854248047,71,490.0,20,0.00519561767578125,26,490.0,20,0.014520406723022461,71,490.0,20,0.00797271728515625,38,490.0,20,0.025222301483154297,22,490.0
bigMaze7,108,0.09426689147949219,509,402.0,108,0.031194686889648438,166,402.0,108,0.10355210304260254,509,402.0,108,0.07621431350708008,399,402.0,108,0.477797269821167,502,402.0
bigMaze8,196,0.1251070499420166,645,314.0,196,0.0630497932434082,333,314.0,196,0.13055205345153809,645,314.0,196,0.12477827072143555,618,314.0,196,0.6108267307281494,621,314.0
bigMaze9,35,0.01791667938232422,91,475.0,35,0.008970260620117188,53,475.0,35,0.01694178581237793,91,475.0,35,0.011953592300415039,55,475.0,35,0.0886542797088623,91,475.0
bigMaze10,148,0.10188651084899902,531,362.0,148,0.06860613822937012,371,362.0,148,0.10783886909484863,531,362.0,148,0.10017681121826172,491,362.0,148,0.6096341609954834,584,362.0
contoursMaze1,13,0.005764007568359375,170,497.0,85,0.002618074417114258,85,425.0,13,0.008053779602050781,170,497.0,13,0.0019998550415039062,49,497.0,13,0.00870966911315918,41,497.0
contoursMaze2,12,0.010873794555664062,159,498.0,104,0.006977081298828125,205,406.0,12,0.005751848220825195,159,498.0,12,0.0019216537475585938,44,498.0,12,0.006975650787353516,36,498.0
contoursMaze3,11,0.006623029708862305,153,499.0,69,0.0029897689819335938,69,441.0,11,0.008532047271728516,153,499.0,11,0.0019927024841308594,39,499.0,11,0.006545543670654297,31,499.0
tinyCorners,28,0.004019737243652344,199,512.0,35,0.004613399505615234,275,507.0
mediumCorners,106,0.06816911697387695,1136,434.0,108,0.019996166229248047,1115,434.0
bigCorners,162,0.9012699127197266,4380,378.0,164,0.07212400436401367,3708,378.0
